LogName,Date,Time,ComputerName,SourceName,TaskCategory,EventType,Keywords,OpCode,EventCode,Type,RecordNumber,Message
Security,2023-08-26,17:20:28,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182428,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:28,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182429,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:28,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182430,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:28,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182431,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:28,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182432,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:28,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182433,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:28,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182434,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:28,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182435,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:28,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182436,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:28,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182437,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:28,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182438,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:28,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182439,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:28,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182440,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:28,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182441,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:28,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182442,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:28,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182443,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:28,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182444,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:28,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182445,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:29,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182446,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:29,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182447,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:29,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182448,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:29,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182449,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:29,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182450,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:29,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182451,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:29,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182452,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:29,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182453,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:29,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182454,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:29,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182455,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:29,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182456,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:29,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182457,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:29,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182458,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:29,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182459,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:29,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182460,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:29,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182461,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:29,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182462,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:29,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182463,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:29,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182464,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:29,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182465,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:30,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182466,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:30,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182467,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:30,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182468,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:30,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182469,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:30,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182470,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:30,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182471,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:30,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182472,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:30,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182473,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:30,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182474,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:30,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182475,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:30,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182476,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:30,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182477,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:30,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182478,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:30,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182479,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:30,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182480,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:30,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182481,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:30,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182482,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:30,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182483,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:30,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182484,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:30,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182485,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:31,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182486,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:31,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182487,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:31,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182488,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:31,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182489,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:31,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182490,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:31,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182491,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:31,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182492,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:31,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182493,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:31,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182494,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:31,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182495,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:31,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182496,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:31,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182497,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:31,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182498,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:31,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182499,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:31,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182500,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:31,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182501,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:31,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182502,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:31,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182503,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:31,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182504,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:31,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182505,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:32,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182506,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:32,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182507,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:32,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182508,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:32,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182509,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:32,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182510,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:32,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182511,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:32,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182512,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:32,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182513,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:32,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182514,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:32,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182515,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:32,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182516,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:32,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182517,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:32,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182518,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:32,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182519,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:32,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182520,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:32,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182521,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:32,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182522,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:32,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182523,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:32,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182524,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:32,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182525,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:33,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182526,The Windows Filtering Platform has blocked a packet.
